"Fire Force <br>vol. 1                                ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1478597809i/32919114.jpg ";"manga   ";"A.    ";"Ohkubo     ";"fire force                      ";1;a
"Fire Force <br>vol. 3                                ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1470785761i/30732153.jpg ";"manga   ";"A.    ";"Ohkubo     ";"fire force                      ";3;c
"Fire Force <br>vol. 4                                ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1470786026i/31395388.jpg ";"manga   ";"A.    ";"Ohkubo     ";"fire force                      ";4;d
"Fire Force <br>vol. 5                                ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1503375055i/36101984.jpg ";"manga   ";"A.    ";"Ohkubo     ";"fire force                      ";5;e
"Fire Force <br>vol. 6                                ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1481041856i/32496062.jpg ";"manga   ";"A.    ";"Ohkubo     ";"fire force                      ";6;f
"One Punch-Man <br>vol. 1                             ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1435109815i/25783832.jpg ";"manga   ";"      ";"ONE        ";"one punch-man                   ";1;a
"One Punch-Man <br>vol. 2                             ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1364262394i/17694056.jpg ";"manga   ";"      ";"ONE        ";"one punch-man                   ";2;b
"One Punch-Man <br>vol. 3                             ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1365317178i/17694058.jpg ";"manga   ";"      ";"ONE        ";"one punch-man                   ";3;c
"One Punch-Man <br>vol. 4                             ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1375313937i/18273751.jpg ";"manga   ";"      ";"ONE        ";"one punch-man                   ";4;d
"One Punch-Man <br>vol. 5                             ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1386044101i/19121592.jpg ";"manga   ";"      ";"ONE        ";"one punch-man                   ";5;e
"One Punch-Man <br>vol. 6                             ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1398974988i/22029858.jpg ";"manga   ";"      ";"ONE        ";"one punch-man                   ";6;f
"One Punch-Man <br>vol. 7                             ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1417230660i/23401591.jpg ";"manga   ";"      ";"ONE        ";"one punch-man                   ";7;g
"One Punch-Man <br>vol. 8                             ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1427832322i/24971700.jpg ";"manga   ";"      ";"ONE        ";"one punch-man                   ";8;h
"One Punch-Man <br>vol. 9                             ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1438262089i/25784105.jpg ";"manga   ";"      ";"ONE        ";"one punch-man                   ";9;i
"One Punch-Man <br>vol. 10                            ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1448649990i/25806183.jpg ";"manga   ";"      ";"ONE        ";"one punch-man                   ";10;j
"One Punch-Man <br>vol. 11                            ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1464706272i/29456195.jpg ";"manga   ";"      ";"ONE        ";"one punch-man                   ";11;k
"One Punch-Man <br>vol. 12                            ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1480435785i/30339859.jpg ";"manga   ";"      ";"ONE        ";"one punch-man                   ";12;l
"One Punch-Man <br>vol. 13                            ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1490892468i/33148640.jpg ";"manga   ";"      ";"ONE        ";"one punch-man                   ";13;m
"One Punch-Man <br>vol. 14                            ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1501528850i/34736658.jpg ";"manga   ";"      ";"ONE        ";"one punch-man                   ";14;n
"One Punch-Man <br>vol. 15                            ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1511334880i/35894836.jpg ";"manga   ";"      ";"ONE        ";"one punch-man                   ";15;o
"One Punch-Man <br>vol. 16                            ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1522646570i/36681442.jpg ";"manga   ";"      ";"ONE        ";"one punch-man                   ";16;p
"One Punch-Man <br>vol. 17                            ";"https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1543007159l/42640836.jpg                 ";"manga   ";"      ";"ONE        ";"one punch-man                   ";17;q
"One Punch-Man <br>vol. 18                            ";"https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1551465436l/44168136._SX318_.jpg         ";"manga   ";"      ";"ONE        ";"one punch-man                   ";18;r
"One Punch-Man <br>vol. 19                            ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1554160622i/42975308.jpg ";"manga   ";"      ";"ONE        ";"one punch-man                   ";19;s
"One Punch-Man <br>vol. 20                            ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1562084396i/44652816.jpg ";"manga   ";"      ";"ONE        ";"one punch-man                   ";20;t
"Neuromancer                                          ";"https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554437249l/6088007._SY475_.jpg          ";"novel   ";"W.    ";"Gibson     ";"Sprawl                          ";1;a
"Avatar: <br>The Last Airbender: <br>The Promise      ";"https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1606691728l/56088604.jpg                 ";"graphic ";"G. L. ";"Yang       ";"Avatar                          ";1;a
"Avatar: <br>The Last Airbender: <br>The Search       ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1596712555i/53347560.jpg ";"graphic ";"G. L. ";"Yang       ";"Avatar                          ";2;b
"Game Over  vol. 21                                   ";"https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/81SzeK5lVIL._SL1500_.jpg                         ";"graphic ";"      ";"Midam      ";"game over                       ";21;a
